district,state,district_num,dem_candidate,rep_candidate,total_spending,spending_for,spending_against,dem_support,dem_oppose,rep_support,rep_oppose,net_dem_advantage,num_transactions,top_spenders
MD-06,MD,06,"DELANEY, APRIL MCCLAIN","PARROTT, NEIL",1127370.92,698089.25,429281.67,473320.23999999993,229281.66999999998,224769.01,200000.0,219269.56,60,"Equality PAC: $397,298 | HOUSE FREEDOM ACTION: $217,604 | Common Sense Common Ground PAC: $139,446"
SC-03,SC,03,N/A,"BISHOP, KEVIN",1126579.72,624527.33,502052.39,0,0,624527.33,502052.39,-122474.93999999994,46,"CONSERVATIVES FOR AMERICAN EXCELLENCE INC.: $370,585 | ELECT PRINCIPLED VETERANS FUND (EPV FUND): $313,565 | AMERICA LEADS ACTION INC.: $212,180"
WV-02,WV,02,N/A,"MOORE, RILEY",1104714.0100000002,1104714.0100000002,0,0,0,1104714.0100000002,0,-1104714.0100000002,27,"DEFEND AMERICAN JOBS: $726,377 | Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action: $265,673 | CONSERVATIVES FOR AMERICAN EXCELLENCE INC.: $66,382"
WI-08,WI,08,"LYERLY, KRISTIN","WIED, TONY",1093627.7,340434.72,753192.98,52435.6,0,287999.11999999994,753192.98,517629.46,20,"SPEAK FREE OR DIE PAC: $1,028,980 | American College of OB-GYNs PAC (OB-GYN PAC): $51,917 | Keeping America Strong PAC: $6,621"
MI-03,MI,03,"SCHOLTEN, HILLARY","MARKEY, MICHAEL JAY MR. JR.",1081595.0499999998,657297.08,424297.97,207848.46000000005,33000.0,449448.62,391297.97,116697.81000000006,56,"WEST MICHIGAN FOR CHANGE: $788,747 | For Our Future: $188,608 | HMP: $85,000"
CA-20,CA,20,"WOOD, MARISA","FONG, VINCE",1049726.51,779375.9700000001,270350.54,0,99902.05,779375.9700000001,170448.49,-708829.5300000001,31,"CENTRAL VALLEY VALUES PAC: $1,027,427 | INTEGRITY LEADERSHIP FUND: $22,300"
WI-01,WI,01,"BARCA, PETER","STEIL, BRYAN GEORGE",1019768.9100000001,898965.0900000001,120803.82,34839.130000000005,996.42,864125.9600000001,119807.40000000001,-710475.8500000001,35,"Fairshake: $764,206 | HMP: $119,807 | Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action: $61,600"
UT-02,UT,02,N/A,"MALOY, CELESTE",957062.97,896688.32,60374.65,0,0,896688.32,60374.65,-836313.6699999999,64,"Constitutional Conservatives Fund: $455,347 | EDF Action Votes: $156,950 | DUTY SERVICE HONOR: $119,450"
KY-04,KY,04,N/A,"MASSIE, THOMAS H.",881302.6100000001,561519.31,319783.3,0,0,561519.31,319783.3,-241736.01000000007,10,"Protect Freedom Political Action Committee: $558,571 | UNITED DEMOCRACY PROJECT (UDP): $319,783 | Gun Rights America: $2,948"
NC-10,NC,10,N/A,"HARRIGAN, PAT",829084.5999999999,829084.5999999999,0,0,0,829084.5999999999,0,-829084.5999999999,40,"Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action: $327,966 | ELECT PRINCIPLED VETERANS FUND (EPV FUND): $264,642 | FAIRSHAKE: $126,626"
